Record ,longitude,latitude,Elev,Trend,Elev,Elev (KPB),Elev difference,Cluster #,Time bin
1945.0,-106.2757762,47.60699203,741.0,128.0,741.0,738.9054833,2.0945167,0,2
1761.0,-106.2862448,47.64431571,754.0,6.0,754.0,751.6788845,2.3211155,0,2
1889.0,-106.2886912,47.6111487,747.0,69.0,747.0,742.3919323,4.6080677,0,2
1900.0,-106.2840011,47.61197513,747.0,76.0,747.0,741.8104493,5.1895507,0,2
1886.0,-106.2919506,47.61004127,748.0,72.0,748.0,742.6409149,5.3590851,0,2
1883.0,-106.2947498,47.60916389,749.0,73.0,749.0,742.8757001,6.1242999,0,2
874.0,-106.5043473,47.67469441,820.0,28.0,820.0,798.9345723,21.0654277,0,2
852.0,-106.4929953,47.68725991,823.0,47.0,823.0,800.6083341,22.3916659,0,2
2084.0,-106.1387394,47.65078766,740.0,130.0,740.0,727.6940617,12.3059383,0,2
2085.0,-106.1371006,47.65136179,744.0,171.0,744.0,727.5756065,16.4243935,0,2
1887.0,-106.1620087,47.68765257,761.0,89.0,761.0,742.5876056,18.4123944,0,2
1885.0,-106.1630733,47.6875878,763.0,96.0,763.0,742.7565203,20.2434797,0,2
1855.0,-106.0918834,47.73459903,762.0,61.8,762.0,744.0901295,17.9098705,0,2
1854.0,-106.0918834,47.73459903,763.0,62.0,763.0,744.0901295,18.9098705,0,2
1852.0,-106.0932287,47.7338754,765.0,47.0,765.0,744.1136648,20.8863352,0,2
1853.0,-106.0932287,47.7338754,765.0,48.0,765.0,744.1136648,20.8863352,0,2
1860.0,-106.089568,47.73485498,765.0,79.4,765.0,743.7608501,21.2391499,0,2
1630.0,-106.1361742,47.76263793,782.0,117.0,782.0,760.0646686,21.9353314,0,2
1655.0,-106.0491492,47.80888673,765.0,120.0,765.0,758.4419475,6.5580525,0,2
1529.0,-106.0730949,47.81783394,774.0,127.0,774.0,765.2476174,8.7523826,0,2
1646.0,-106.0507033,47.80978127,768.0,123.0,768.0,758.9749704,9.0250296,0,2
1717.0,-106.0348968,47.80480522,767.0,148.0,767.0,754.7553498,12.2446502,0,2
1474.0,-106.0291725,47.85575609,769.0,127.0,769.0,768.7257483,0.2742517,0,2
1456.0,-106.0301927,47.85731251,770.0,138.0,770.0,769.3611778,0.6388222,0,2
665.0,-107.1625603,47.31598346,849.0,140.0,849.0,811.3794901,37.6205099,0,3
1177.0,-107.0134611,47.31188893,832.0,125.0,832.0,783.52644,48.47356,0,3
1338.0,-106.9656883,47.31417636,809.0,148.0,809.0,775.6592283,33.3407717,0,3
1442.0,-106.9323675,47.31445526,806.0,118.0,806.0,769.7926517,36.2073483,0,3
2116.0,-106.6825199,47.31723589,772.0,40.0,772.0,726.1025235,45.8974765,0,3
402.0,-107.2066414,47.34561269,859.0,110.0,859.0,827.8615299,31.1384701,0,3
579.0,-107.118389,47.36060557,858.0,132.0,858.0,816.4237334,41.5762666,0,3
596.0,-107.1175099,47.35816518,864.0,142.0,864.0,815.5571367,48.4428633,0,3
738.0,-107.069427,47.3578829,842.0,51.0,842.0,806.8851728,35.1148272,0,3
741.0,-107.069483,47.35762092,842.0,14.0,842.0,806.8180184,35.1819816,0,3
743.0,-107.0682817,47.35805655,842.0,82.0,842.0,806.7294027,35.2705973,0,3
624.0,-107.1125944,47.35445847,859.0,137.0,859.0,813.6041998,45.3958002,0,3
605.0,-107.1147789,47.35676683,861.0,136.0,861.0,814.6657602,46.3342398,0,3
801.0,-107.0827338,47.33662982,850.0,119.0,850.0,803.0904978,46.9095022,0,3
2421.0,-106.4930564,47.35190488,740.0,111.0,740.0,702.6000768,37.3999232,0,3
2358.0,-106.5043598,47.36619056,752.0,130.0,752.0,708.779292,43.220708,0,3
2500.0,-106.4108799,47.36521089,731.0,28.0,731.0,691.9425508,39.0574492,0,3
