Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
2024,-106.2886882,47.58069041,698,156,733.4695664,-35.4695664
32,-107.2281226,47.59307243,868,140,903.4403758,-35.4403758
1846,-106.2536856,47.63910645,709,89,744.4340978,-35.4340978
231,-106.9799822,47.55212133,812,167,847.3757343,-35.3757343
318,-106.6709983,47.69843719,800,81,835.2507048,-35.2507048
119,-107.051998,47.56950865,830,123,865.2349214,-35.2349214
1908,-106.3094119,47.59473557,706,64,741.2290639,-35.2290639
615,-106.5960765,47.67131328,779,174,814.1138856,-35.1138856
672,-106.5922895,47.66331267,776,132.1,811.1105356,-35.1105356
40,-107.1115669,47.56658235,840,46,874.9876542,-34.9876542
602,-106.5977371,47.6729098,780,165,814.874844,-34.874844
1101,-106.1788537,47.83182258,753,76,787.8262571,-34.8262571
520,-106.6341853,47.66775336,785,135,819.7997609,-34.7997609
1591,-106.0314308,47.83413264,728,83,762.7666644,-34.7666644
641,-106.5953187,47.66699576,778,174,812.7201937,-34.7201937
1724,-106.291495,47.65042932,720,120,754.3944528,-34.3944528
2071,-106.182327,47.63029033,695,102,729.3236611,-34.3236611
206,-107.011358,47.5464101,817,161,851.2957542,-34.2957542
697,-106.5894748,47.6583488,775,136,809.1650782,-34.1650782
253,-106.7924624,47.65525731,810,140,844.1282891,-34.1282891
205,-107.1463236,47.56631487,847,11,881.0997852,-34.0997852
458,-106.8737579,47.53653978,790,119,823.9741274,-33.9741274
703,-106.6008836,47.65077574,775,4,808.9677234,-33.9677234
87,-107.2263267,47.56829858,862,148,895.9379368,-33.9379368
1616,-106.2383003,47.70350056,727,175,760.6073509,-33.6073509
173,-107.0480205,47.53876926,822,118,855.6019896,-33.6019896
681,-106.4871645,47.72447912,777,164,810.4597569,-33.4597569
2058,-106.1863653,47.63110344,697,107,730.2689262,-33.2689262
2092,-106.235375,47.59145384,694,68,727.2499003,-33.2499003
120,-107.0694667,47.55864855,832,163,865.189913,-33.189913
1628,-106.3482123,47.63607282,727,96,760.1581298,-33.1581298
320,-106.5299954,47.78312201,802,124,835.1291379,-33.1291379
2003,-106.2011574,47.6387957,702,81,735.1215758,-33.1215758
1436,-106.3647741,47.66012651,737,18,770.1125759,-33.1125759
2020,-106.2006568,47.63495883,701,122,733.908377,-32.908377
1668,-106.2385148,47.69398751,725,160,757.8568257,-32.8568257
1501,-106.3525525,47.6556823,734,158,766.660983,-32.660983
1968,-106.1977013,47.64892752,705,159.2,737.4868007,-32.4868007
598,-106.598632,47.67429203,783,155,815.4360175,-32.4360175
413,-106.5116875,47.76730349,795,122,827.289084,-32.289084
11,-107.1430468,47.55475919,845,80,877.1641435,-32.1641435
